Kelas Tanah,Jenis Tanah,Kod,Kumpulan
Kelas 1,SELANGOR,SLR,1
Kelas 1,KANGKONG,KGG,1
Kelas 1,BRIAH,BRH,2
Kelas 1,TELEMONG,TMG,2
Kelas 2,SEGAMAT,SGT,3
Kelas 2,KUANTAN,KTN,3
Kelas 2,BENTA,BTA,3
Kelas 2,SG. MAS,SMS,3
Kelas 2,KATONG,KTG,3
Kelas 2,SAHABAT,SBT,3
Kelas 2,YONG PENG,YPG,3
Kelas 2,TOK YONG,TYG,3
Kelas 2,KEMUNING,KMG,3
Kelas 2,MUNCHONG,MUN,3
Kelas 2,JERAM,JRM,3
Kelas 2,LANCHANG,LCC,3
Kelas 2,JEMPOL,JPL,3
Kelas 2,PRANG,PRG,3
Kelas 2,CHAT,CAT,3
Kelas 2,MUSANG,MSG,3
Kelas 2,CEMPAKA,CPA,3
Kelas 2,KATONG/S,KTG/S,3
Kelas 2,KAMPONG KOLAM,KKM,3
Kelas 2,SEGAMAT/L,SGT/L,4
Kelas 2,RENGAM,RGM,4
Kelas 2,MASAI,MSI,4
Kelas 2,LENGKAWI,LKI,4
Kelas 2,MENDI,MDI,4
Kelas 2,RECENT RIVERINE ALU,RRA,4
Kelas 2,BATANG MERBAU,MBU,4
Kelas 2,DENT,DNT,4
Kelas 2,LAMBAK,LBK,4
Kelas 2,TEBOK KALA,TBK,4
Kelas 2,KALA,KLA,4
Kelas 2,COLLUVIUM,COL,4
Kelas 2,JERANGAU,JRA,4
Kelas 2,LOCAL ALLUVIUM,LAA,4
Kelas 2,HARIMAU,HMU,4
Kelas 2,BUNGOR/L,BGR/L,4
Kelas 2,CUPING,CPG,4
Kelas 2,SEMPURNA/IMD,SPAmd,4
Kelas 2,BUKIT TEMIANG,BTG,4
Kelas 2,LATING,LTG,4
Kelas 2,BESERAH,BSH,4
Kelas 2,MUSANG/L,MSG/L,4
Kelas 2,KATONG/L,KTG/L,4
Kelas 2,RASAU,RSU,4
Kelas 2,BUNGOR/L,BGR/L,4
Kelas 2,ROMPIN,RPN,4
Kelas 2,RUDUA,RDA,4
Kelas 2,MUNCHONG/L,MUN/L,4
Kelas 2,BUNGOR/S,BGR/S,4
Kelas 2,BALING,BLG,4
Kelas 3,DURIANG,DRN,5
Kelas 3,CHENIANG/S,CHN/S,5
Kelas 3,DURIAN/L,DRNIL,5
Kelas 3,BATU LAPAN,BLN,5
Kelas 3,HARRAD/L,HRDIL,5
Kelas 3,MERAPOH/L,MPHIL,5
Kelas 3,BKT. AJIL,BTL,5
Kelas 3,MALACCA,MCA,5
Kelas 3,HARRAD/S,HRD/S,5
Kelas 3,GAJAH MATI,GMT,5
Kelas 3,KLAU,KLU,5
Kelas 3,MERAPOH,MPH,5
Kelas 3,MALACCA/D,MCA/D,5
Kelas 3,HARRAD,HRD,5
Kelas 3,KEDAH,KDH,5
Kelas 3,TAVY,TVY,5
Kelas 3,SEREMBAN,SBN,5
Kelas 3,KAWANG,KWG,5
Kelas 3,DENT/S,DNT/S,5
Kelas 3,KAKI BUKIT,KBT,5
Kelas 3,KULAI,KLI,5
Kelas 3,BATU ANAM,BTM/L,5
Kelas 3,SEMPORNA/S,SPNS,5
Kelas 3,BATU ANAM/L,BTM/L,5
Kelas 3,PADANG BESAR,PBR,5
Kelas 3,PEAT,PET,6
Kelas 3,ORGANIC CLAY MUCK,OCM,6
Kelas 3,SANDY COLLUVIUM,COLIS,6
Kelas 3,KRANJI,Kn,6
Kelas 3,KUALA BERANG,KBG,6
Kelas 3,BKT. TUKU,TKU,6
Kelas 3,LUNAS,LNS,6
Kelas 3,KPG. KUBUR,KBR,6
Kelas 3,SG. BULUH,SBH,6
Kelas 3,TEPUS,TPS,6
Kelas 3,ULU TIRAM,UTM,6
Kelas 3,JABIL,JBL,6
Kelas 3,SERDANG,SDG,6
Kelas 3,HOLYROOD,HYD,6
Kelas 3,MARANG,MRG,6
Kelas 3,TAMPIN,TPN,6
Kelas 3,APEK,APK,6
Kelas 3,BINJAI,BJI,6
Kelas 3,KUALA BRANG,KLG/KBG,6
Kelas 3,PEAT/D,PET/D,6
