Zon Taburan Hujan	Kelas Tanah	Topografi	Tahun Tuai	Potensi Hasil
Kering	1	Beralun Sederhana	1	7
Kering	1	Beralun Sederhana	2	13
Kering	1	Beralun Sederhana	3	19
Kering	1	Beralun Sederhana	4	24
Kering	1	Beralun Sederhana	5	26
Kering	1	Beralun Sederhana	6	28
Kering	1	Beralun Sederhana	7	28
Kering	1	Beralun Sederhana	8	28
Kering	1	Beralun Sederhana	9	28
Kering	1	Beralun Sederhana	10	28
Kering	1	Beralun Sederhana	11	28
Kering	1	Beralun Sederhana	12	28
Kering	1	Beralun Sederhana	13	28
Kering	1	Beralun Sederhana	14	28
Kering	1	Beralun Sederhana	15	28
Kering	1	Beralun Sederhana	16	28
Kering	1	Beralun Sederhana	17	28
Kering	1	Beralun Sederhana	18	28
Kering	1	Beralun Sederhana	19	28
Kering	1	Beralun Sederhana	20	28
Kering	1	Beralun Sederhana	21	28
Kering	1	Beralun Sederhana	22	28
Kering	1	Beralun Sederhana	23	27.5
Kering	1	Beralun Sederhana	24	27
Kering	1	Beralun Sederhana	25	26.5
Kering	1	Berbukit	1	5
Kering	1	Berbukit	2	10
Kering	1	Berbukit	3	14
Kering	1	Berbukit	4	18
Kering	1	Berbukit	5	20
Kering	1	Berbukit	6	21
Kering	1	Berbukit	7	23
Kering	1	Berbukit	8	23
Kering	1	Berbukit	9	23
Kering	1	Berbukit	10	23
Kering	1	Berbukit	11	23
Kering	1	Berbukit	12	23
Kering	1	Berbukit	13	23
Kering	1	Berbukit	14	23
Kering	1	Berbukit	15	23
Kering	1	Berbukit	16	23
Kering	1	Berbukit	17	23
Kering	1	Berbukit	18	23
Kering	1	Berbukit	19	23
Kering	1	Berbukit	20	23
Kering	1	Berbukit	21	23
Kering	1	Berbukit	22	23
Kering	1	Berbukit	23	22.5
Kering	1	Berbukit	24	22
Kering	1	Berbukit	25	21.5
Kering	1	Beralun Lemah	1	9
Kering	1	Beralun Lemah	2	16
Kering	1	Beralun Lemah	3	22
Kering	1	Beralun Lemah	4	27
Kering	1	Beralun Lemah	5	29
Kering	1	Beralun Lemah	6	30
Kering	1	Beralun Lemah	7	30
Kering	1	Beralun Lemah	8	30
Kering	1	Beralun Lemah	9	30
Kering	1	Beralun Lemah	10	30
Kering	1	Beralun Lemah	11	30
Kering	1	Beralun Lemah	12	30
Kering	1	Beralun Lemah	13	30
Kering	1	Beralun Lemah	14	30
Kering	1	Beralun Lemah	15	30
Kering	1	Beralun Lemah	16	30
Kering	1	Beralun Lemah	17	30
Kering	1	Beralun Lemah	18	30
Kering	1	Beralun Lemah	19	30
Kering	1	Beralun Lemah	20	30
Kering	1	Beralun Lemah	21	30
Kering	1	Beralun Lemah	22	30
Kering	1	Beralun Lemah	23	29.5
Kering	1	Beralun Lemah	24	29
Kering	1	Beralun Lemah	25	28.5
Kering	2	Beralun Sederhana	1	6.5
Kering	2	Beralun Sederhana	2	12.5
Kering	2	Beralun Sederhana	3	18
Kering	2	Beralun Sederhana	4	22.5
Kering	2	Beralun Sederhana	5	24.5
Kering	2	Beralun Sederhana	6	26.5
Kering	2	Beralun Sederhana	7	26.5
Kering	2	Beralun Sederhana	8	26.5
Kering	2	Beralun Sederhana	9	26.5
Kering	2	Beralun Sederhana	10	26.5
Kering	2	Beralun Sederhana	11	26.5
Kering	2	Beralun Sederhana	12	26.5
